Rank,ASN,AS Name,CC,Users (est.),% of country,% of Internet,Samples
12521,AS267054,LINKWAY TELECOM,BR,5736,0.0,0.0,291
12522,AS269622,LUCIANA ARAUJO NUNES DE JESUS ME,BR,5736,0.0,0.0,291
12523,AS266370,I Cesar Pereira Barros -ME -ME,BR,5736,0.0,0.0,291
12524,AS268551,DMC TELECOM EIRELI - EPP,BR,5736,0.0,0.0,291
12525,AS265343,STCOM TELECOMUNICACOES EIRELI - ME,BR,5736,0.0,0.0,291
12526,AS268867,F. I. & E. TELECOM LTDA ME,BR,5736,0.0,0.0,291
12527,AS136717,MEGASOFT-AS Megasoft Computer Sales And Services,IN,5734,0.0,0.0,707
12528,AS42374,INSTALNET-AS,PL,5732,0.02,0.0,322
12529,AS206758,AKOMP-AS,PL,5732,0.02,0.0,322
12530,AS197588,MULTIPLAYPL-AS,PL,5732,0.02,0.0,322
12531,AS58118,ADINET-AS,MD,5729,0.17,0.0,589
12532,AS197058,ASPSTS,UA,5729,0.02,0.0,615
12533,AS138149,MATCHNET-AS-AP Match Net,BD,5725,0.02,0.0,3700
12534,AS3479,PEACHNET-AS1,US,5725,0.0,0.0,1007
12535,AS32899,BRESCOBROADBAND,US,5725,0.0,0.0,1007
12536,AS12496,IDNET IDNet,GB,5721,0.01,0.0,604
12537,AS28698,UUNETZM-AS,ZM,5720,0.09,0.0,717
12538,AS206825,SIEBNICH-COM,DE,5719,0.01,0.0,240
12539,AS15123,FBEMC-ASN,US,5719,0.0,0.0,1006
12540,AS10947,WERCS-NET,US,5719,0.0,0.0,1006
12541,AS12843,TELEMAXX,DE,5719,0.01,0.0,240
12542,AS52351,Integral Insumos,AR,5717,0.01,0.0,748
12543,AS36534,AHS,CA,5717,0.02,0.0,620
12544,AS4670,HYUNDAI-KR Shinbiro,KR,5717,0.01,0.0,849
12545,AS268211,Renata Oliveira da Rocha,BR,5716,0.0,0.0,290
12546,AS50604,MEDIASUD-AS,RO,5716,0.04,0.0,970
12547,AS52694,NEXSUL TELECOM LTDA,BR,5716,0.0,0.0,290
12548,AS265081,Carlessi Comercio e Solucoes de Internet LTDA ME,BR,5716,0.0,0.0,290
12549,AS262401,GSTN DO BRASIL LTDA,BR,5716,0.0,0.0,290
12550,AS264472,BCNET SERVICOS DE INFORMATICA LTDA - ME,BR,5716,0.0,0.0,290
12551,AS268397,REINALDO DE JESUS,BR,5716,0.0,0.0,290
12552,AS269075,GO-NET TELECOM,BR,5716,0.0,0.0,290
12553,AS268910,AGIL COMERCIAL DO BRASIL INF. E COM. LTDA,BR,5716,0.0,0.0,290
12554,AS269490,SYNCNET TELECOM,BR,5716,0.0,0.0,290
12555,AS264502,ZNET TELECOM LTDA,BR,5716,0.0,0.0,290
12556,AS268945,Boa vista Net Ltda - me,BR,5716,0.0,0.0,290
12557,AS39328,SISNET,ES,5715,0.01,0.0,253
12558,AS202814,EVC,ES,5715,0.01,0.0,253
12559,AS62915,WTECHLINK,US,5714,0.0,0.0,1005
12560,AS141626,SANDYANET-AS-ID PT Sandya Sistem Indonesia,ID,5711,0.0,0.0,1007
12561,AS33892,SELS-AS,RU,5710,0.0,0.0,183
12562,AS42048,SFU-AS,RU,5710,0.0,0.0,183
12563,AS197120,LANINTERCOM-AS,RU,5710,0.0,0.0,183
12564,AS48796,COMSTAR-R-SML-AS,RU,5710,0.0,0.0,183
12565,AS56933,ASDATAGRAM,SK,5709,0.12,0.0,380
12566,AS197029,LAM-AS,CZ,5709,0.06,0.0,375
12567,AS57172,GLOBALLAYER,BE,5708,0.05,0.0,223
12568,AS205277,INTERLINK,AM,5703,0.24,0.0,489
12569,AS43056,I-SHACK,LB,5698,0.1,0.0,2975
12570,AS265229,INTERLIGADOS FIBRA,BR,5696,0.0,0.0,289
12571,AS268770,PORTAL TIMON,BR,5696,0.0,0.0,289
12572,AS264577,Silva Telecom,BR,5696,0.0,0.0,289
12573,AS271142,LL TELECOMUNICACOES EIRELI,BR,5696,0.0,0.0,289
12574,AS269325,GENESIS NET SERVICE LTDA,BR,5696,0.0,0.0,289
12575,AS197790,AS-ACTUS,PL,5696,0.02,0.0,320
12576,AS271002,TURBO NET TELECOMUNICACOES,BR,5696,0.0,0.0,289
12577,AS51484,BLOKOWE,PL,5696,0.02,0.0,320
12578,AS265178,L.G. BENATO INFORMATICA - ME,BR,5696,0.0,0.0,289
12579,AS267002,JVNET WEB,BR,5696,0.0,0.0,289
12580,AS268075,FABIANA CRISTINA MOREIRA,BR,5696,0.0,0.0,289
12581,AS262621,LIMA & VICENTE Diversoes Eletronicas LTDA,BR,5696,0.0,0.0,289
12582,AS268762,TBK DA SILVA INTERNET - ME,BR,5696,0.0,0.0,289
12583,AS263298,SAO PEDRO NET,BR,5696,0.0,0.0,289
12584,AS6663,TTI-NET,RO,5693,0.04,0.0,966
12585,AS266677,FILA-NET,PY,5693,0.11,0.0,503
12586,AS43277,VICTORY-MEDIA IPv4 Upstreams,RS,5693,0.09,0.0,1897
12587,AS206975,NOVANET-AS NovaNET,UA,5692,0.02,0.0,611
12588,AS327809,ARC-Informatique,SN,5692,0.09,0.0,600
12589,AS11181,VAXXINE,CA,5689,0.02,0.0,617
12590,AS51088,A2B,NL,5689,0.03,0.0,340
12591,AS52503,MALARGUE ONLINE,AR,5687,0.01,0.0,744
12592,AS39246,LIULINNET Liulin Net Ltd.,BG,5686,0.12,0.0,2002
12593,AS138259,MIFI-AS-IN Manish Infocom Private Limited,IN,5685,0.0,0.0,701
12594,AS61272,IST-AS,US,5685,0.0,0.0,1000
12595,AS58046,HKOM-AS,SI,5682,0.32,0.0,1545
12596,AS52430,Coop. de Obras y Serv. Publicos de Brinkmann,AR,5679,0.01,0.0,743
12597,AS57613,ESNET,PL,5678,0.02,0.0,319
12598,AS201826,ERA-TELECOM,RU,5678,0.0,0.0,182
12599,AS57552,ONRELA-AS,RU,5678,0.0,0.0,182
12600,AS51944,PROMEDIA-IPV-AS,PL,5678,0.02,0.0,319
12601,AS12564,CMBG-AS Bulgarian Government Autonomous System,BG,5678,0.12,0.0,1999
12602,AS25211,TELECOMASET-AS,BG,5678,0.12,0.0,1999
12603,AS58024,DZINET-AS,RU,5678,0.0,0.0,182
12604,AS48978,ORBITEL-AS,RU,5678,0.0,0.0,182
12605,AS262194,Dese Technologies Argentina S.A.,CO,5677,0.02,0.0,592
12606,AS270385,CONECTA - PROVEDOR DE INTERNET LTDA.,BR,5677,0.0,0.0,288
12607,AS270261,ENTER BRASIL SERVICOS DE INTERNET LTDA,BR,5677,0.0,0.0,288
12608,AS263036,Fox Conect Provedor de Internet LTDA,BR,5677,0.0,0.0,288
12609,AS269271,SERGIO BATISTA CARDOZO ME,BR,5677,0.0,0.0,288
12610,AS132054,RISINGSTAR-AS-AP Rising Star Cable TV Services,PH,5677,0.01,0.0,1014
12611,AS61744,power net telecom eireli-me,BR,5677,0.0,0.0,288
12612,AS268180,PCNET TELECOM,BR,5677,0.0,0.0,288
12613,AS267217,SW INTERNET LTDA - ME,BR,5677,0.0,0.0,288
12614,AS267142,R. ALECIO SACHETTI & CIA LTDA - EPP,BR,5677,0.0,0.0,288
12615,AS27235,CVC-INET-33,US,5674,0.0,0.0,998
12616,AS262189,Cooperativa Regional de Servicios,AR,5671,0.01,0.0,742
12617,AS20303,DINET-01,US,5668,0.0,0.0,997
12618,AS49419,CANDIDATOR-AB,SE,5668,0.05,0.0,295
12619,AS56595,FLUENCY,GB,5664,0.01,0.0,598
12620,AS8528,RENAULT,FR,5662,0.01,0.0,300
12621,AS131740,SMARTMEDIA-AS-ID PT Smart Media Pratama,ID,5660,0.0,0.0,998
12622,AS132290,THENET-AS-AP The Net,BD,5660,0.02,0.0,3658
12623,AS266071,R3 INTERNET,BR,5657,0.0,0.0,287
12624,AS58056,KRS-NET-AS,SI,5657,0.32,0.0,1538
12625,AS269491,Carlos Alberto Lira Barros ME,BR,5657,0.0,0.0,287
12626,AS266197,IBL TELECOM,BR,5657,0.0,0.0,287
12627,AS266926,EJ TELECOM LTDA - ME,BR,5657,0.0,0.0,287
12628,AS269150,VMNET SOLUCOES EM TECNOLOGIA,BR,5657,0.0,0.0,287
12629,AS262661,Linknet Telecomunicacoes,BR,5657,0.0,0.0,287
12630,AS264434,Rech e Bernardi LTDA ME,BR,5657,0.0,0.0,287
12631,AS197155,ARTNET,GB,5654,0.01,0.0,597
12632,AS44137,ASGRID,UA,5654,0.02,0.0,607
12633,AS33943,CBEZDRAT-AS,CZ,5648,0.06,0.0,371
12634,AS263833,DIGITAL SAVIO S.A.,AR,5648,0.01,0.0,739
12635,AS205759,REFIMED,ES,5647,0.01,0.0,250
12636,AS42621,LPOK-AS,FI,5647,0.12,0.0,621
12637,AS50712,KAVKAZNET,RU,5647,0.0,0.0,181
12638,AS140901,WEBRANGERSNET-AS-AP Web Rangers.net,BD,5646,0.02,0.0,3649
12639,AS140148,PGS-AS-IN Pegasuswave Private Limited,IN,5645,0.0,0.0,696
12640,AS33515,MONROE-GA,US,5645,0.0,0.0,993
12641,AS31404,LYCATEL-AS,PL,5643,0.02,0.0,317
12642,AS197956,GART-AS,PL,5643,0.02,0.0,317
12643,AS136088,ZITLINE-AS-ID PT. Araz Inti Line,ID,5643,0.0,0.0,995
12644,AS39013,SONICOM,BG,5641,0.12,0.0,1986
12645,AS328810,Techwood-as,ZA,5641,0.02,0.0,363
12646,AS30676,TUB,US,5640,0.0,0.0,992
12647,AS270399,ITACONECT SERVICOS DE COM. E MULT. LTDA,BR,5637,0.0,0.0,286
12648,AS28240,VIP - SERVICOS DE TELECOMUNICACOES LTDA.,BR,5637,0.0,0.0,286
12649,AS267023,B DOS S VIEIRA NETO,BR,5637,0.0,0.0,286
12650,AS268407,TOP MASTER TELECOM,BR,5637,0.0,0.0,286
12651,AS267274,GBNET TELECOM LTDA,BR,5637,0.0,0.0,286
12652,AS267200,MICROLINK INFORMATICA,BR,5637,0.0,0.0,286
12653,AS61729,CB NET TELECOM LTDA,BR,5637,0.0,0.0,286
12654,AS264032,TopLink Informatica LTDA,BR,5637,0.0,0.0,286
12655,AS270636,GLOBALLIG TELECOMUNICACOES LTDA - ME,BR,5637,0.0,0.0,286
12656,AS395761,TELEDISTRIBUTION-AMOS-INC,CA,5634,0.02,0.0,611
12657,AS135262,FAAST-AS CredenceIS Computing Private Limited,IN,5628,0.0,0.0,694
12658,AS26809,SCOTTEPB,US,5628,0.0,0.0,990
12659,AS133586,TIITACSISP-AS-AP Tiitacs IT and IT Solutions,AF,5627,0.1,0.0,434
12660,AS271813,COMUNICACIONES MIGTEL C.A.,VE,5626,0.03,0.0,593
12661,AS12703,PULSANT-AS,GB,5626,0.01,0.0,594
12662,AS199181,ORAKOM,IT,5625,0.01,0.0,347
12663,AS4224,CALYX-AS,DE,5624,0.01,0.0,236
12664,AS138519,EXCITE-AS-AP Excite Limited,PG,5624,0.43,0.0,192
12665,AS31317,ANSCHLUSSWERK,DE,5624,0.01,0.0,236
12666,AS174,COGENT-174,TR,5623,0.01,0.0,763
12667,AS59183,CORREL-AS-IN Correl IT Services Pvt Ltd,IN,5620,0.0,0.0,693
12668,AS132166,RIDA-AS-AP Rida Communication Private Limited,IN,5620,0.0,0.0,693
12669,AS266202,CROHMA SOLUCOES LTDA - ME,BR,5618,0.0,0.0,285
12670,AS61767,R.A INFORMATICA,BR,5618,0.0,0.0,285
12671,AS265078,JHS TELECOMUNICACOES LTDA,BR,5618,0.0,0.0,285
12672,AS264289,PROVEINTER LTDA,BR,5618,0.0,0.0,285
12673,AS8274,ONLNK,UA,5617,0.02,0.0,603
12674,AS25996,FBICJIS,US,5617,0.0,0.0,988
12675,AS44041,UNICOMLAB-AS,RU,5616,0.0,0.0,180
12676,AS52008,NESTER-NET,RU,5616,0.0,0.0,180
12677,AS49740,GGN,BG,5615,0.12,0.0,1977
12678,AS39024,NASTECH,BG,5615,0.12,0.0,1977
12679,AS27742,Amnet Telecomunicaciones S.A.,US,5611,0.0,0.0,987
12680,AS328218,WASP-AS,ZA,5610,0.02,0.0,361
12681,AS56655,TERRAHOST,NO,5609,0.11,0.0,568
12682,AS205957,EUROLAN,UA,5608,0.02,0.0,602
12683,AS49787,PL-STRONG-PC-AS,PL,5607,0.02,0.0,315
12684,AS50016,FORTES-AS,PL,5607,0.02,0.0,315
12685,AS269859,INFINITICS S.A.,VE,5607,0.03,0.0,591
12686,AS395461,APOG-AUSTIN,US,5605,0.0,0.0,986
12687,AS202375,DIGITALBOX,ES,5602,0.01,0.0,248
12688,AS2549,Universidad de Guadalajara,MX,5601,0.01,0.0,673
12689,AS270603,R R DE FRANCA SOUSA,BR,5598,0.0,0.0,284
12690,AS267181,top connect tecnologia ltda,BR,5598,0.0,0.0,284
12691,AS269627,Exa Internet,BR,5598,0.0,0.0,284
12692,AS264086,C.S TAVARES-ME,BR,5598,0.0,0.0,284
12693,AS60700,UZHNET,UA,5598,0.02,0.0,601
12694,AS268687,V1 Tecnologia,BR,5598,0.0,0.0,284
12695,AS266052,Interviva Telecom e Servicos LTDA ME,BR,5598,0.0,0.0,284
12696,AS41932,CITYLINE-DN-UA-AS,UA,5598,0.02,0.0,601
12697,AS28587,RadNet Telecom,BR,5598,0.0,0.0,284
12698,AS271057,F. T DE MIRANDA JUNIOR INTERNET EIRELI,BR,5598,0.0,0.0,284
12699,AS56607,CHABANOV-AS,UA,5598,0.02,0.0,601
12700,AS267506,NETLUX Telecom,BR,5598,0.0,0.0,284
12701,AS265112,Digito Telecomunicacoes e Informatica Ltda Me,BR,5598,0.0,0.0,284
12702,AS204289,SONATA-AS,UA,5598,0.02,0.0,601
12703,AS271001,Yepnet Tecnologia Eireli,BR,5598,0.0,0.0,284
12704,AS269374,CLUSTERS TELECOM INFORMATICA LTDA ME,BR,5598,0.0,0.0,284
12705,AS267449,GLOBALNET TELECOMUNICACOES LTDA,BR,5598,0.0,0.0,284
12706,AS269507,PRISSMA SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,BR,5598,0.0,0.0,284
12707,AS265586,"INBTEL, S.A. DE C.V.",MX,5592,0.01,0.0,672
12708,AS132462,BEMOBILESI-AS-AP Bemobile Solomon Islands Ltd,SB,5592,5.91,0.0,632
12709,AS60871,COMNET-AS,RS,5591,0.08,0.0,1863
12710,AS2914,NTT-COMMUNICATIONS-2914,HK,5590,0.08,0.0,2022
12711,AS35115,BESTGOPL-WROCLAW ******** EPIX *************************************,PL,5589,0.02,0.0,314
12712,AS21898,PTN-AS1,US,5588,0.0,0.0,983
12713,AS202895,TFNET,CZ,5587,0.06,0.0,367
12714,AS140215,LUC-AS-AP Link Up Communication,BD,5587,0.02,0.0,3611
12715,AS63932,BCC-BD Bangladesh Computer Council,BD,5587,0.02,0.0,3611
12716,AS42429,TELERU-AS,RU,5585,0.0,0.0,179
12717,AS37462,Prestabist,TD,5585,0.36,0.0,124
12718,AS50045,MONNET-AS,RU,5585,0.0,0.0,179
12719,AS59615,SERVERUM-AS,LV,5585,0.35,0.0,1038
12720,AS48949,MEDIA-TV-AS,RU,5585,0.0,0.0,179
12721,AS20436,PGTC-COM,US,5583,0.0,0.0,982
12722,AS6536,CITYNET,US,5583,0.0,0.0,982
12723,AS5606,GTS-BACKBONE GTS Telecom,RO,5581,0.04,0.0,947
12724,AS6364,ATLANTIC-NET-1,BE,5580,0.05,0.0,218
12725,AS328242,IP-Labs-AS,ZA,5579,0.02,0.0,359
12726,AS270331,Maceio Telecom Tecnologia Eireli,BR,5578,0.0,0.0,283
12727,AS269598,NOVA ERA TELECOMUNICACOES - SERVICOS DE INTERNET,BR,5578,0.0,0.0,283
12728,AS268623,VTEK TELECOM LTDA - ME,BR,5578,0.0,0.0,283
12729,AS262957,8-Bit Informatica e Provedor LTDA,BR,5578,0.0,0.0,283
12730,AS263106,VERDENET TELECOMUNICACOES LTDA,BR,5578,0.0,0.0,283
12731,AS266556,THOMAS INFORMATICA LTDA,BR,5578,0.0,0.0,283
12732,AS263350,rocha e portes ltda,BR,5578,0.0,0.0,283
12733,AS269127,LAIZA S. L. DE ALMEIDA ME,BR,5578,0.0,0.0,283
12734,AS10162,SNUH-AS-KR SNUH,KR,5569,0.01,0.0,827
12735,AS32473,EHTEL,CA,5569,0.02,0.0,604
12736,AS132857,FFL-AS-AP FULL FLAVOUR LIMITED,NZ,5562,0.12,0.0,512
12737,AS18199,LINKTELECOM-NZ-AP Link Telecom NZ Limited,NZ,5562,0.12,0.0,512
12738,AS21308,KROLEVETS-AS,UA,5561,0.02,0.0,597
12739,AS19653,CTSTELECOM,US,5560,0.0,0.0,978
12740,AS15169,GOOGLE,GB,5560,0.01,0.0,587
12741,AS265271,PLAYBOX INFORMATICA LTDA - ME,BR,5558,0.0,0.0,282
12742,AS266923,IPconect TELECOM,BR,5558,0.0,0.0,282
12743,AS266614,AMTECK INFORMATICA LTDA,BR,5558,0.0,0.0,282
12744,AS264378,RESENDE SERVICO DE TELECOMUNICACAO LTDA,BR,5558,0.0,0.0,282
12745,AS262436,Futuro Telecom Ltda,BR,5558,0.0,0.0,282
12746,AS270518,Atec Informatica Telecom Martinez e Rocha LTDA,BR,5558,0.0,0.0,282
12747,AS267945,MICROCHIP-NET TELECOM SERV COM MULTIMIDIA LTDA,BR,5558,0.0,0.0,282
12748,AS61687,PRO NET EMPREENDIMENTOS TECNOLOGICOS LTDA,BR,5558,0.0,0.0,282
12749,AS266953,ARGO PROVEDOR DE INTERNET LTDA,BR,5558,0.0,0.0,282
12750,AS203183,FOBOSTELECOM FOBOS TELECOM,ES,5557,0.01,0.0,246
12751,AS206092,SECFIREWALLAS,MM,5556,0.03,0.0,995
12752,AS138298,A2JDATA-AS-IN A2j Data Services Pvt. Ltd.,IN,5555,0.0,0.0,685
12753,AS199715,ASN-MSITELEKOM,PL,5554,0.02,0.0,312
12754,AS198928,PROFLINK-AS,PL,5554,0.02,0.0,312
12755,AS36012,HUNTER-COMM,US,5554,0.0,0.0,977
12756,AS48738,ELVIS-AS,RU,5554,0.0,0.0,178
12757,AS36610,EKNNET,US,5554,0.0,0.0,977
12758,AS41305,FASTIV-AS,UA,5552,0.02,0.0,596
12759,AS58054,TV-NET-UA-AS,UA,5552,0.02,0.0,596
12760,AS137278,M1-AS-AP 1 Touch BD Online Ltd.,BD,5550,0.02,0.0,3587
12761,AS134257,HOSTAXIS-AS-IN Hostaxis Network Private Limited,IN,5547,0.0,0.0,684
12762,AS136897,ENJOYVC-AS-AP Enjoyvc Cloud Group Limited.,HK,5546,0.08,0.0,2006
12763,AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,MM,5544,0.03,0.0,993
12764,AS15169,GOOGLE,IT,5544,0.01,0.0,342
12765,AS14368,BRAZOS-INTERNET,US,5543,0.0,0.0,975
12766,AS44863,STARNET-AS,UA,5543,0.02,0.0,595
12767,AS267344,PLANOWEB NETWORKS,BR,5539,0.0,0.0,281
12768,AS269455,GLFIBRA SERVICOS DE TELECOMUNICACOES LTDA,BR,5539,0.0,0.0,281
12769,AS264920,Shel Net Informatica Ltda,BR,5539,0.0,0.0,281
12770,AS270279,WIMAXNET LTDA,BR,5539,0.0,0.0,281
12771,AS263075,TV Cabo de Santo Anastacio Ltda,BR,5539,0.0,0.0,281
12772,AS266034,Falou Telecom,BR,5539,0.0,0.0,281
12773,AS328138,UNIVERCELL-AS,BJ,5539,0.26,0.0,860
12774,AS266538,ENTERNET PROVEDOR LTDA - ME,BR,5539,0.0,0.0,281
12775,AS269226,JR CONNECT INFORMATICA E TELECOM LTDA ME,BR,5539,0.0,0.0,281
12776,AS52731,Netnt Sistemas e Informatica Ltda,BR,5539,0.0,0.0,281
12777,AS267034,OPEN IT SOLUTIONS EIRELI,BR,5539,0.0,0.0,281
12778,AS270650,Coradi Telecomunicacao LTDAME,BR,5539,0.0,0.0,281
12779,AS265775,AUSTRONET,EC,5538,0.05,0.0,799
12780,AS393796,GBTA-ASN,US,5537,0.0,0.0,974
12781,AS197809,AUDIO-SYSTEMS-AS,PL,5536,0.02,0.0,311
12782,AS266694,FULL TELECOMUNICACIONES S.A,PY,5535,0.1,0.0,489
12783,AS265743,COMERCIAL WASHINGTON ERNESTO OYARCE SAZO E.I.R.L. SENALMAX,CL,5533,0.03,0.0,323
12784,AS135267,DNEXTECHNOLOGY-AS D NEX TECHNOLOGY PVT LTD,IN,5531,0.0,0.0,682
12785,AS29035,DANET-AS,UA,5524,0.02,0.0,593
12786,AS48670,UNIS,RU,5522,0.0,0.0,177
12787,AS61431,VOLS-AS,RU,5522,0.0,0.0,177
12788,AS39799,"COMINTEL-AS Tyumen, Russia",RU,5522,0.0,0.0,177
12789,AS39406,CONVEX-ZARECNY,RU,5522,0.0,0.0,177
12790,AS34573,OBERON-ASN,RU,5522,0.0,0.0,177
12791,AS52040,KITEJ-TELECOM-AS,RU,5522,0.0,0.0,177
12792,AS136620,VMHAUSLIMITED-AS-AP VMHaus Limited,GB,5522,0.01,0.0,583
12793,AS266648,Objetivo Informatica Cachoeirinha Ltda-ME,BR,5519,0.0,0.0,280
12794,AS271067,Villaggionet Telecomunicacoes,BR,5519,0.0,0.0,280
12795,AS267167,VIRTUALI SOLICOES EM TELECOMUNICACOES LTDA ME,BR,5519,0.0,0.0,280
12796,AS270639,EGTECH SOLUCOES EM TELECOMUNICACOES,BR,5519,0.0,0.0,280
12797,AS270403,LOCAL TELECOM LTDA,BR,5519,0.0,0.0,280
12798,AS268572,ultraWIFI Telecom Ltda,BR,5519,0.0,0.0,280
12799,AS264877,ROBERVAL ANTONIO ROSSI ME,BR,5519,0.0,0.0,280
12800,AS15169,GOOGLE,PL,5518,0.02,0.0,310
12801,AS47672,MON-AS,PL,5518,0.02,0.0,310
12802,AS57476,TVKNET-AS,PL,5518,0.02,0.0,310
12803,AS198577,BESTPARTNER-ASN,PL,5518,0.02,0.0,310
12804,AS200701,LYSSNA-NJUT-AB,SE,5515,0.05,0.0,287
12805,AS57547,ASALTERNET,SK,5514,0.12,0.0,367
12806,AS266805,NETI SIEMPRE CONECTADO,PY,5512,0.1,0.0,487
12807,AS8530,EXCELL,GB,5512,0.01,0.0,582
12808,AS33947,WLA-NET-HU-AS,HU,5511,0.07,0.0,689
12809,AS210218,OPENFIBER-ITALY,IT,5511,0.01,0.0,340
12810,AS36351,SOFTLAYER,HK,5510,0.08,0.0,1993
12811,AS141231,FREEDOM1-AS-AP Freedom Online,BD,5510,0.02,0.0,3561
12812,AS265559,Jose Homero Trevino Villasenor,MX,5509,0.01,0.0,662
12813,AS39056,ANOXIN,UA,5505,0.02,0.0,591
12814,AS52350,"Cooperativa de Electricidad, Obras y Servicios Publicos Suipacha JJ Almeira Ltda.",AR,5503,0.01,0.0,720
12815,AS46719,COMCELL4236207,US,5503,0.0,0.0,968
12816,AS36813,HCC-IL,US,5503,0.0,0.0,968
12817,AS328747,Wan4u,ZA,5501,0.02,0.0,354
12818,AS141071,JEMBATANDATA-AS-ID PT Jembatan Data Pangrango,ID,5501,0.0,0.0,970
12819,AS198496,DESIREPPHU-AS,PL,5500,0.02,0.0,309
12820,AS135259,SKYSIKAR-AS SKYLINE INFONET PRIVATE LIMITED,IN,5499,0.0,0.0,678
12821,AS16019,VODAFONE-CZ-AS,SK,5499,0.12,0.0,366
12822,AS270863,DRM SERVICOS DE TELECOMUNICACOES EIRELI -ME,BR,5499,0.0,0.0,279
12823,AS61944,FFA SOLUCOES TECNOLOGICAS LTDA - ME,BR,5499,0.0,0.0,279
12824,AS268761,NOWA TELECOM LTDA ME,BR,5499,0.0,0.0,279
12825,AS268670,HENRIQUE CANGUSSU ALVES,BR,5499,0.0,0.0,279
12826,AS267283,Antonio Carlos de Jussiape - ME,BR,5499,0.0,0.0,279
12827,AS138786,CCBSPL-AS-IN Crystal Clear Broadband Services Pvt. Ltd.,IN,5499,0.0,0.0,678
12828,AS269497,LENILSON FERREIRA DOS SANTOS,BR,5499,0.0,0.0,279
12829,AS265397,QNET INTERNET,BR,5499,0.0,0.0,279
12830,AS270313,WN Tellecom,BR,5499,0.0,0.0,279
12831,AS269100,M L DE ASSIS ALMEIDA E ALMEIDA LTDA,BR,5499,0.0,0.0,279
12832,AS132104,FARSROUTE-AS-AP Fars Route Information Technology Services Company,AF,5498,0.1,0.0,424
12833,AS13150,CATON,US,5497,0.0,0.0,967
12834,AS62809,EXPOHL,US,5497,0.0,0.0,967
12835,AS12773,MM-AS,UA,5496,0.02,0.0,590
12836,AS56239,GASTRANET-AS-ID PT Graha Anugrah Sejahtera,ID,5496,0.0,0.0,969
12837,AS209137,SPRINGO,IT,5495,0.01,0.0,339
12838,AS15267,702COM,US,5492,0.0,0.0,966
12839,AS201593,TECHNOLOGIISVYAZI-AS,RU,5491,0.0,0.0,176
12840,AS134885,GITIPL-AS Global India Tele-Infra Pvt Ltd,IN,5490,0.0,0.0,677
12841,AS265857,OLMEDO OSVALDO ANDRESServiRED,AR,5488,0.01,0.0,718
12842,AS328251,Force-Telecoms-AS,ZA,5486,0.02,0.0,353
12843,AS23900,"PLANET-ONLINE-AS-LA Planet Online Laos, Internet Service Provider in LAO PDR",LA,5485,0.23,0.0,1547
12844,AS50673,SERVERIUS-AS,GB,5484,0.01,0.0,579
12845,AS201773,UOW-AS,GB,5484,0.01,0.0,579
12846,AS266404,C H DA SILVA EIRELI - ME,BR,5480,0.0,0.0,278
12847,AS52796,SERTAO VIRTUAL II LTDA ME,BR,5480,0.0,0.0,278
12848,AS16732,VELOCOM,AR,5480,0.01,0.0,717
12849,AS268061,CRISTIANO ALMEIDA ME,BR,5480,0.0,0.0,278
12850,AS265984,ZAVAZ INTERNET JANAUBA LTDA,BR,5480,0.0,0.0,278
12851,AS266235,CONECTAR TELECOMUNICACOES DO BRASIL LTDA - ME,BR,5480,0.0,0.0,278
12852,AS263389,A ALBANES GARCIA TECNOLOGIA LTDA ME,BR,5480,0.0,0.0,278
12853,AS267329,YOUSER TELECOMUNICACOES LTDA,BR,5480,0.0,0.0,278
12854,AS263251,CONNECT WIRELESS LTDA,BR,5480,0.0,0.0,278
12855,AS395139,NYP-INTERNET,US,5480,0.0,0.0,964
12856,AS268971,BETEL TELECOMUNICACOES LTDA,BR,5480,0.0,0.0,278
12857,AS132669,IDNIC-GNET-AS-ID PT Globalnet Multi Data,ID,5479,0.0,0.0,966
12858,AS30526,NEPTUNO-NET,PR,5478,0.23,0.0,1007
12859,AS43301,MAGICOM-AS,UA,5477,0.02,0.0,588
12860,AS203101,NAVARINO-POP,GR,5475,0.07,0.0,2307
12861,AS213207,TECHHUB-HINET,PS,5475,0.15,0.0,1872
12862,AS13371,DUKE-INTERCHANGE,US,5475,0.0,0.0,963
12863,AS139460,MMS-AS-ID PT Maxindo Mitra Solusi,ID,5473,0.0,0.0,965
12864,AS328051,GO-Communications-Net-AS,ZA,5470,0.02,0.0,352
12865,AS8699,FIBERWAVES-AS,LB,5470,0.1,0.0,2856
12866,AS138651,SPIDERNET-AS-AP Spider Net,BD,5470,0.02,0.0,3535
12867,AS46957,MPTELCO-1,US,5469,0.0,0.0,962
12868,AS397142,FORT-COLLINS-CONNEXION,US,5469,0.0,0.0,962
12869,AS22598,ALENCO,US,5469,0.0,0.0,962
12870,AS50281,ISP6-6-AS,UA,5468,0.02,0.0,587
12871,AS208067,GLUHIV-500-AS,UA,5468,0.02,0.0,587
12872,AS199298,GIGANET,CZ,5465,0.06,0.0,359
12873,AS199250,CKPARTNET,PL,5465,0.02,0.0,307
12874,AS270021,"LA PARA COOPERATIVA DE ELECTRICIDAD, VIVIENDA Y SERVICIOS PUBLICOS LIMITADA",AR,5465,0.01,0.0,715
12875,AS48119,MULTIFOX,PL,5465,0.02,0.0,307
